ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0042254,ribosome biogenesis,95/3314,226/18773,0.420353982,2.381202568,9.671984389,6.53E-18,2.02E-14,1.77E-14,las1l/c1d/tsr1/rps27.1/fcf1/znhit6/rrp36/si:dkey-251i10.3/emg1/rpl5a/utp3/wdr3/mettl5/rrp7a/tsr2/ftsj3/utp6/dimt1l/rpusd2/nsun4/mrps7/mak16/wdr46/pak1ip1/tfb1m/dcaf13/nop10/tma16/nol6/zgc:86811/polr1d/rrp8/bud23/rps19/ddx27/rpf1/mphosph10/urb1/noc2l/exosc2/nol10/ddx54/sart1/ddx10/ddx49/nop14/grwd1/utp25/heatr3/mrm1/ddx28/mrpl44/noc4l/nmd3/sdad1/eri1/utp4/riok2/mrto4/tbl3/pdcd11/drosha/rpf2/rpl7l1/rpusd4/nop2/exosc8/exosc7/bxdc2/pop5/rcl1/utp15/gnl3/lsg1/wdr75/pwp2h/fbl/ddx18/c1qbp/wdr43/nat10/wdr12/znf622/eif6/znf593/gnl3l/pno1/rrs1/ythdf2/dhx37/npm1a/gnl2/ppan/rexo1/tsr3,95
BP,GO:0006364,rRNA processing,75/3314,161/18773,0.465838509,2.638861296,9.669398105,2.02E-17,3.13E-14,2.74E-14,las1l/c1d/tsr1/fcf1/znhit6/rrp36/si:dkey-251i10.3/emg1/utp3/wdr3/mettl5/rrp7a/tsr2/ftsj3/utp6/dimt1l/rpusd2/nsun4/mak16/wdr46/pak1ip1/tfb1m/dcaf13/nop10/nol6/zgc:86811/rrp8/bud23/ddx27/rpf1/mphosph10/urb1/exosc2/nol10/ddx54/sart1/ddx10/ddx49/utp25/mrm1/mrpl44/eri1/utp4/riok2/mrto4/tbl3/pdcd11/drosha/rpf2/rpl7l1/rpusd4/nop2/exosc8/exosc7/bxdc2/pop5/rcl1/utp15/gnl3/wdr75/pwp2h/fbl/ddx18/wdr43/nat10/wdr12/eif6/gnl3l/rrs1/ythdf2/dhx37/gnl2/ppan/rexo1/tsr3,75
BP,GO:0016072,rRNA metabolic process,80/3314,179/18773,0.446927374,2.531734338,9.533763556,3.64E-17,3.76E-14,3.30E-14,las1l/c1d/tsr1/fcf1/znhit6/rrp36/si:dkey-251i10.3/emg1/polr1e/utp3/wdr3/mettl5/rrp7a/tsr2/ftsj3/utp6/dimt1l/rpusd2/nsun4/mak16/wdr46/pak1ip1/tfb1m/dcaf13/nop10/nol6/zgc:86811/polr1d/rrp8/bud23/ddx27/rpf1/mphosph10/urb1/exosc2/nol10/ddx54/sart1/ddx10/ddx49/utp25/mrm1/mrpl44/eri1/dis3/utp4/riok2/mrto4/tbl3/polr1a/pdcd11/drosha/rpf2/rpl7l1/rpusd4/nop2/exosc8/exosc7/bxdc2/pop5/rcl1/utp15/gnl3/wdr75/taf1b/pwp2h/fbl/ddx18/wdr43/nat10/wdr12/eif6/gnl3l/rrs1/ythdf2/dhx37/gnl2/ppan/rexo1/tsr3,80
CC,GO:0005730,nucleolus,103/3396,265/19331,0.388679245,2.212473054,9.17463873,1.36E-16,6.97E-14,6.02E-14,c1d/rbm19/midn/gpatch4/arhgap32a/tsr1/rps27.1/top2a/cdkn2aip/rrp36/nol8/si:dkey-251i10.3/polr1h/polr1e/utp3/wdr3/n4bp1/spty2d1/rrp7a/rsl1d1/ftsj3/utp6/nusap1/dimt1l/nolc1/parp2/mak16/wdr46/pak1ip1/ddx24/dcaf13/nop10/nol6/rbm28/polr1d/rrp8/dcaf17/bud23/ddx27/rpf1/mphosph10/urb1/noc2l/nol10/ddx54/nop14/mdm2/grwd1/hspa8/utp25/nol7/smg6/aatf/noc4l/sdad1/nol12/eri1/utp4/tent4a/riox1/mrto4/tbl3/npm3/apex1/polr1a/pdcd11/rpf2/nop2/ccdc86/bxdc2/pop5/rcl1/utp15/gnl3/zgc:103482/prkrip1/adar/wdr75/taf1b/pwp2h/fbl/ddx18/rpp38/wdr43/nat10/upf3b/wdr12/gnl3l/pno1/rrs1/taf1c/plk4/nop58/dhx37/npm1a/gnl2/nepro/ilf3b/ppan/nle1/rrp12/rasl11a/zcchc9,103
BP,GO:0022613,ribonucleoprotein complex biogenesis,110/3314,319/18773,0.344827586,1.953363994,7.95151084,2.67E-13,2.06E-10,1.81E-10,las1l/c1d/prmt7/tsr1/rps27.1/fcf1/znhit6/rrp36/nopchap1/si:dkey-251i10.3/emg1/rpl5a/utp3/rsrp1/wdr3/mettl5/rrp7a/tsr2/ftsj3/utp6/dimt1l/rpusd2/nsun4/mrps7/mak16/wdr46/pak1ip1/tfb1m/dcaf13/nop10/tma16/nol6/zgc:86811/polr1d/rrp8/bud23/rps19/ddx27/rpf1/mphosph10/urb1/noc2l/exosc2/nol10/ddx54/sart1/ddx10/ddx49/nop14/grwd1/srpk1a/aar2/utp25/heatr3/mrm1/ddx28/mrpl44/noc4l/nmd3/sdad1/eri1/utp4/riok2/mrto4/tbl3/pdcd11/drosha/rpf2/rpl7l1/rpusd4/khdc4/sf3b1/nop2/exosc8/smn1/exosc7/bxdc2/pop5/rcl1/utp15/gnl3/lsg1/wdr75/prpf18/pwp2h/fbl/ddx18/c1qbp/gemin5/clns1a/wdr43/nat10/yju2/wdr12/znf622/prpf39/eif6/znf593/gnl3l/pno1/rrs1/ythdf2/dhx37/npm1a/gnl2/celf2/gemin6/ppan/rexo1/tsr3,110
BP,GO:0044282,small molecule catabolic process,80/3314,218/18773,0.366972477,2.078809388,7.417939908,1.39E-11,8.60E-09,7.54E-09,zgc:92040/glud1b/kmo/acadl/qdpra/abhd3/tha1/faah/cpt1ab/gcat/acad11/cyp46a1.5/aldh6a1/hpda/fah/pck1/abhd2a/asrgl1/prodha/oxct1a/cpt2/tdo2a/hadhab/hacl1/srd5a3/acox3/aldh1l2/zgc:103586/ftcd/si:ch211-217a12.1/ido1/hoga1/acaa2/crot/cyp46a1.1/kynu/cyp7a1/aldh4a1/phyh/tkfc/decr2/glb1l/kyat3.2/cpt1b/aldh1l1/gls2a/hgd/esd/agxt2/sardh/eci1/acaa1/pah/zgc:172295/zgc:85777/thnsl2/hagh/acot7/cdab/pipox/dctd/bckdha/echdc2/pfkpa/lpin2/galt/nos1/tat/slc25a44a/gcshb/abcd1/zgc:162816/bckdhb/npl/slc25a44b/amt/got2a/gcdha/acat1/tysnd1,80
CC,GO:0005759,mitochondrial matrix,66/3396,169/19331,0.390532544,2.22302256,7.371928878,2.99E-11,7.65E-09,6.61E-09,acadl/fpgs/wars2/ccnb1/abhd11/pptc7a/alas1/pdk2a/cs/mrpl43/supv3l1/pccb/fastk/nsun4/hadhab/acss3/mrps7/tfb1m/ppm1ka/fastkd3/dap3/mrpl27/atad3/mrpl10/fastkd1/mrps17/mrps16/dlat/mrps11/tbrg4/pdk4/aldh4a1/mrpl44/adprs/dhx30/mrpl20/mrps35/mrpl22/sardh/mrpl40/rpusd4/mlycd/mrps14/hagh/mrps30/mrps31/grpel1/poldip2/mrps24/pdk1/mrps6/tfam/mrps22/c1qbp/mrpl53/alas2/mrpl51/mrps9/mrpl52/elac2/got2a/mrpl58/mrps15/mrpl34/hspe1/pyroxd2,66
BP,GO:0016054,organic acid catabolic process,65/3314,165/18773,0.393939394,2.231570381,7.356854812,3.32E-11,1.47E-08,1.29E-08,zgc:92040/glud1b/kmo/acadl/qdpra/abhd3/tha1/faah/cpt1ab/gcat/acad11/aldh6a1/hpda/fah/pck1/abhd2a/asrgl1/prodha/cpt2/tdo2a/hadhab/hacl1/acox3/aldh1l2/ftcd/si:ch211-217a12.1/ido1/hoga1/acaa2/crot/kynu/aldh4a1/phyh/decr2/kyat3.2/cpt1b/aldh1l1/gls2a/hgd/agxt2/sardh/eci1/acaa1/pah/zgc:85777/thnsl2/acot7/pipox/bckdha/echdc2/lpin2/nos1/tat/slc25a44a/gcshb/abcd1/zgc:162816/bckdhb/npl/slc25a44b/amt/got2a/gcdha/acat1/tysnd1,65
BP,GO:0046395,carboxylic acid catabolic process,65/3314,165/18773,0.393939394,2.231570381,7.356854812,3.32E-11,1.47E-08,1.29E-08,zgc:92040/glud1b/kmo/acadl/qdpra/abhd3/tha1/faah/cpt1ab/gcat/acad11/aldh6a1/hpda/fah/pck1/abhd2a/asrgl1/prodha/cpt2/tdo2a/hadhab/hacl1/acox3/aldh1l2/ftcd/si:ch211-217a12.1/ido1/hoga1/acaa2/crot/kynu/aldh4a1/phyh/decr2/kyat3.2/cpt1b/aldh1l1/gls2a/hgd/agxt2/sardh/eci1/acaa1/pah/zgc:85777/thnsl2/acot7/pipox/bckdha/echdc2/lpin2/nos1/tat/slc25a44a/gcshb/abcd1/zgc:162816/bckdhb/npl/slc25a44b/amt/got2a/gcdha/acat1/tysnd1,65
CC,GO:0030684,preribosome,36/3396,72/19331,0.5,2.846142521,7.24499918,3.11E-10,4.26E-08,3.68E-08,fcf1/rrp36/si:dkey-251i10.3/emg1/utp3/wdr3/rrp7a/ftsj3/utp6/mak16/wdr46/dcaf13/nol6/rpf1/mphosph10/noc2l/nol10/nop14/utp25/noc4l/utp4/riok2/mrto4/tbl3/pdcd11/utp15/rrp9/wdr75/pwp2h/fbl/wdr12/znf622/pno1/rrs1/nop58/ppan,36
CC,GO:0005839,proteasome core complex,18/3396,23/19331,0.782608696,4.454831771,7.653250202,3.33E-10,4.26E-08,3.68E-08,psmb6/psmb7/psmb5/psmb12/psmb13a/psmb4/psma6l/psma6b/psma2a/psmb10/psma5/psmb9a/psma3/psmb8a/psma8/psmb2/psma4/psma1,18
BP,GO:0044283,small molecule biosynthetic process,95/3314,307/18773,0.309446254,1.752937395,6.158606636,7.59E-09,2.94E-06,2.58E-06,lipg/agxtb/itpkcb/sprb/scap/kmo/prkag2b/adka/qdpra/agxta/cyp27b1/abhd3/itpkb/aprt/tha1/fasn2/pptc7b/rdh5/mthfd1l/cbsb/aclya/ptgs2b/pptc7a/csad/coq3/fgfr4/pck1/abhd2a/fgf1a/dhdds/elovl6/ip6k2a/lbr/slc38a9/elovl6l/dbh/acsbg2/srd5a3/bpnt2/pcbd1/sc5d/glulb/cyp27a3/sptlc2b/fbp2/pdss1/upb1/ptges/rfk/psph/kynu/sirt5/pdxkb/sephs3/cyp7a1/aldh18a1/mthfr/olah/hsd17b12a/cth/gls2a/dcaf5/pah/g6pc1a.1/thnsl2/coq8aa/mlycd/gpia/ugdh/mcat/ubiad1/prxl2b/tm7sf2/rpp14/tpk1/bhmt/itpkca/hacd3/pgk1/acacb/nanp/hprt1/pgm2/fasn/ccdc57/asl/ndufa9a/lipca/gatm/scdb/fads2/got1/mtr/fbp1a/enoph1,95
BP,GO:0032787,monocarboxylic acid metabolic process,97/3314,319/18773,0.304075235,1.722511886,6.026094049,1.42E-08,4.88E-06,4.28E-06,lipg/agxtb/kmo/acadl/prkag2b/abhd3/faah/fasn2/asah1b/me1/cpt1ab/acad11/aclya/ptgs2b/pdk2a/hk1/fgfr4/peds1/fah/pck1/slc7a3a/abhd2a/elovl6/ptgr2/acsf2/slc38a9/slc27a2a/cpt2/hadhab/elovl6l/acot22/hsd17b10/hacl1/acsbg2/acox3/cryl1/ftcd/hpgd/pkma/ldhba/hoga1/acaa2/crot/mmut/ptges/zgc:56585/dlat/kynu/eno1a/cyp7a1/pdk4/phyh/hkdc1/hk2/olah/hyi/hsd17b12a/decr2/cpt1b/dcaf5/agxt2/eci1/acaa1/dagla/ugl/zgc:85777/thnsl2/mlycd/gpia/hagh/acot7/mcat/acot20/echdc2/prxl2b/pfkpa/lpin2/pdk1/rpp14/abcd1/acss2/hacd3/pgk1/acacb/aldoaa/fasn/ccdc57/zgc:113054/lipca/dhtkd1/gcdha/gatm/acat1/scdb/tysnd1/fads2/acsl3b,97
CC,GO:0032040,small-subunit processome,24/3396,43/19331,0.558139535,3.177089325,6.597670335,1.73E-08,1.77E-06,1.53E-06,fcf1/si:dkey-251i10.3/emg1/utp3/wdr3/utp6/wdr46/dcaf13/nol6/mphosph10/nol10/nop14/utp25/noc4l/utp4/tbl3/pdcd11/utp15/rrp9/wdr75/pwp2h/fbl/pno1/nop58,24
CC,GO:0000502,proteasome complex,30/3396,62/19331,0.483870968,2.754331472,6.387069541,2.45E-08,1.94E-06,1.68E-06,psmb6/psmb7/psmb5/psmb12/psmd13/psmb13a/psmb4/psma6l/psma6b/psma2a/psmd7/psmc3/psmb10/pomp/psma5/psmd6/psmd9/psmc2/psmb9a/psmd8/psma3/psmb8a/psma8/adrm1/psmc1a/psmb2/psma4/psme3/psme2/psma1,30
CC,GO:0098687,chromosomal region,52/3396,140/19331,0.371428571,2.114277301,6.108467008,2.65E-08,1.94E-06,1.68E-06,rad50/zw10/plk3/ndel1b/incenp/plk1/spout1/si:dkeyp-115e12.6/ncapd2/mad2l1/mis18bp1/ncapd3/spc25/cenpq/cdca8/firrm/aurka/kif2c/aurkb/ercc6l/ttk/ppp1cc/cbx1a/cfdp1/cenph/bub3/smc5/smg6/ppp2caa/spc24/birc5a/ckap5/rif1/ndc80/clasp1a/nsmce4a/nuf2/atrx/zwilch/zgc:113263/plk2a/dclre1b/cenpt/cenpi/cenpn/terfa/cenpk/si:dkey-225f5.4/birc6/ska1/si:ch211-269e2.1/tert,52
BP,GO:0006631,fatty acid metabolic process,69/3314,208/18773,0.331730769,1.879173727,5.903366115,4.21E-08,1.23E-05,1.08E-05,lipg/acadl/prkag2b/abhd3/faah/fasn2/asah1b/cpt1ab/acad11/aclya/ptgs2b/pdk2a/peds1/pck1/slc7a3a/abhd2a/elovl6/ptgr2/acsf2/slc27a2a/cpt2/hadhab/elovl6l/acot22/hsd17b10/hacl1/acsbg2/acox3/cryl1/hpgd/acaa2/crot/mmut/ptges/zgc:56585/pdk4/phyh/olah/hsd17b12a/decr2/cpt1b/dcaf5/eci1/acaa1/dagla/zgc:85777/thnsl2/mlycd/acot7/mcat/acot20/echdc2/prxl2b/lpin2/pdk1/rpp14/abcd1/hacd3/acacb/fasn/ccdc57/zgc:113054/lipca/gcdha/acat1/scdb/tysnd1/fads2/acsl3b,69
BP,GO:0051301,cell division,95/3314,317/18773,0.299684543,1.697639686,5.800064781,4.36E-08,1.23E-05,1.08E-05,mapre2/cdc20/zw10/cdk1/kdf1b/incenp/cdca7b/ccnb1/ube2s/plk1/ccne1/cks1b/ncapd2/cdca7a/fgf1a/tgfb3/cp110/ncaph/ncapd3/nusap1/si:dkey-12j5.1/lzts2a/cdca4/spc25/unc119a2/ccnb2/vegfaa/cdca8/tp53/ect2/mapk14a/klhl13/ccna2/cdc25b/aurka/aurkb/ercc6l/ube2ia/gdf3/ttk/smyd5/kif23/ppp1cc/knl1/ncapg/cks2/cdc45/ttc19/bub3/mau2/fzr1a/anln2/cdh1/ccnf/kmt5aa/spc24/kl/tdrd12/cdc42/pard6b/cdca3/cdc7/ndc80/aspm/tipin/nuf2/spire1a/zwilch/e2f7/cdk11b/cdc40/bod1/si:dkey-187j14.4/entr1/arl8ba/ankle2/katnb1/actr8/ccnd2a/zfyve26/nudc/birc6/mapre3b/dchs1b/snx18a/ythdf2/haus1/ccne2/ska1/cdc42l/mdkb/si:ch211-269e2.1/rae1/rps3/fign,95
BP,GO:0042273,ribosomal large subunit biogenesis,26/3314,51/18773,0.509803922,2.887914611,6.250750169,5.95E-08,1.54E-05,1.35E-05,las1l/znhit6/rpl5a/ftsj3/mak16/pak1ip1/tma16/rpf1/urb1/noc2l/heatr3/ddx28/sdad1/mrto4/rpf2/rpl7l1/nop2/bxdc2/ddx18/wdr12/znf622/eif6/rrs1/npm1a/gnl2/ppan,26
BP,GO:0006520,amino acid metabolic process,74/3314,231/18773,0.32034632,1.814683606,5.768428383,7.09E-08,1.69E-05,1.48E-05,agxtb/zgc:92040/glud1b/kmo/qdpra/agxta/tha1/aspg/gcat/cbsb/wars2/odc1/th2/aldh6a1/hpda/fah/asrgl1/kars1/prodha/slc38a9/tdo2a/azin1b/gfpt1/ftcd/glulb/nars2/si:ch211-217a12.1/ido1/upb1/agmat/aarsd1/psph/kynu/dglucy/ggh/sephs3/aldh4a1/enosf1/aldh18a1/gfpt2/mthfr/kyat3.2/cth/yars2/gls2a/hgd/agxt2/sardh/pah/acy1/thnsl2/pipox/bckdha/pars2/nos1/tat/mars2/slc25a44a/gcshb/qrsl1/bhmt/fh/zgc:162816/bckdhb/asl/tars1/slc25a44b/ctps1a/amt/got2a/gatb/got1/mtr/enoph1,74
BP,GO:1901605,alpha-amino acid metabolic process,56/3314,161/18773,0.347826087,1.970349768,5.725132583,1.29E-07,2.86E-05,2.51E-05,agxtb/zgc:92040/glud1b/kmo/qdpra/agxta/tha1/aspg/gcat/cbsb/odc1/th2/aldh6a1/hpda/fah/asrgl1/prodha/tdo2a/azin1b/gfpt1/ftcd/glulb/si:ch211-217a12.1/ido1/agmat/psph/kynu/dglucy/ggh/sephs3/aldh4a1/aldh18a1/gfpt2/mthfr/kyat3.2/cth/gls2a/hgd/agxt2/sardh/pah/thnsl2/pipox/nos1/tat/gcshb/bhmt/fh/zgc:162816/asl/ctps1a/amt/got2a/got1/mtr/enoph1,56
CC,GO:0000779,"condensed chromosome, centromeric region",31/3396,70/19331,0.442857143,2.52086909,5.884711437,1.86E-07,1.07E-05,9.22E-06,zw10/plk3/ndel1b/incenp/plk1/spout1/ncapd2/mad2l1/ncapd3/spc25/firrm/aurka/kif2c/aurkb/ercc6l/ttk/ppp1cc/cfdp1/cenph/bub3/spc24/ckap5/ndc80/clasp1a/nuf2/zwilch/plk2a/cenpt/cenpi/si:dkey-225f5.4/ska1,31
CC,GO:0000775,"chromosome, centromeric region",43/3396,113/19331,0.380530973,2.166090768,5.739065985,1.88E-07,1.07E-05,9.22E-06,zw10/plk3/ndel1b/incenp/plk1/spout1/si:dkeyp-115e12.6/ncapd2/mad2l1/mis18bp1/ncapd3/spc25/cenpq/cdca8/firrm/aurka/kif2c/aurkb/ercc6l/ttk/ppp1cc/cbx1a/cfdp1/cenph/bub3/ppp2caa/spc24/birc5a/ckap5/ndc80/clasp1a/nuf2/atrx/zwilch/plk2a/cenpt/cenpi/cenpn/cenpk/si:dkey-225f5.4/birc6/ska1/si:ch211-269e2.1,43
CC,GO:0019774,"proteasome core complex, beta-subunit complex",10/3396,11/19331,0.909090909,5.174804583,6.393706068,2.56E-07,1.31E-05,1.13E-05,psmb6/psmb7/psmb5/psmb12/psmb13a/psmb4/psmb10/psmb9a/psmb8a/psmb2,10
CC,GO:1905369,endopeptidase complex,31/3396,75/19331,0.413333333,2.35281115,5.418867116,1.18E-06,5.11E-05,4.41E-05,psmb6/psmb7/psmb5/psmb12/psmd13/psmb13a/psmb4/psma6l/psma6b/psma2a/psmd7/psmc3/psmb10/pomp/psma5/psmd6/psmd9/psmc2/psmb9a/psmd8/psma3/psmb8a/capns1a/psma8/adrm1/psmc1a/psmb2/psma4/psme3/psme2/psma1,31
CC,GO:0000776,kinetochore,29/3396,68/19331,0.426470588,2.42759215,5.444028362,1.20E-06,5.11E-05,4.41E-05,zw10/plk3/ndel1b/incenp/plk1/spout1/mad2l1/spc25/firrm/aurka/kif2c/aurkb/ercc6l/ttk/ppp1cc/cfdp1/cenph/bub3/spc24/ckap5/ndc80/clasp1a/nuf2/zwilch/plk2a/cenpt/cenpi/si:dkey-225f5.4/ska1,29
BP,GO:1903047,mitotic cell cycle process,91/3314,322/18773,0.282608696,1.600909186,5.035790462,1.46E-06,0.000300416,0.000263437,zw10/plk3/mki67/ccni2/cdk1/ndel1b/kif4/mcm2/smc2/chek2/pdcd2/ccnb1/gins1/kif11/ube2s/plk1/cdkn1a/ccne1/vangl2/ncapd2/mcm6/foxm1/mad2l1/kifc1/ncaph/ncapd3/nusap1/lzts2a/unc119a2/tpx2/ccnb2/cdca8/ect2/ccna2/cdc25b/aurka/aurkb/ttk/kif23/prc1b/dlg1b/lats1/ncapg/bub1bb/cdc45/cenph/bub3/nipblb/waca/dlgap5/ift88/anln2/ccnf/mcm3/ckap5/ndc80/ccnb3/clasp1a/fbxl15/tipin/nuf2/zwilch/gcna/e2f7/lats2/rhoab/ankle2/gnl3/topbp1/ptpa/plk2a/tacc2/ccnd2a/zfyve26/cenpi/cenpk/dchs1b/gnl2/tacc1/psme3/ccne2/ska1/psme2/diaph2/pola1/rae1/wtip/dctn2/rb1/rad9a/zgc:136908,91
CC,GO:1905368,peptidase complex,36/3396,94/19331,0.382978723,2.180024058,5.294315886,1.52E-06,5.78E-05,4.99E-05,psmb6/psmb7/psmb5/psmb12/psmd13/psmb13a/psmb4/psma6l/psma6b/psma2a/psmd7/psmc3/psmb10/pomp/psma5/psmd6/psmd9/taf5l/psmc2/psmb9a/psmd8/psma3/psmb8a/spg7/capns1a/psma8/afg3l1/adrm1/psmc1a/psmb2/psma4/tada3l/taf10/psme3/psme2/psma1,36
BP,GO:0007059,chromosome segregation,60/3314,189/18773,0.317460317,1.798335106,5.107252821,1.65E-06,0.000310513,0.000272291,mapre2/zw10/mki67/ndel1b/kif4/smc2/incenp/top2a/ccnb1/kif11/ncapd2/mad2l1/espl1/kifc1/ncaph/ncapd3/nusap1/lzts2a/spc25/cdca8/kif2c/aurkb/ube2ia/ttk/kif23/prc1b/knl1/ncapg/bub1bb/cenph/bub3/mau2/rmi2/prdm9/dlgap5/spc24/birc5a/mlh1/ndc80/clasp1a/nuf2/zwilch/gcna/arl8ba/sac3d1/tlk1b/nek2/ttll11/cenpt/cenpi/cenpn/cenpk/tlk1a/haus2/birc6/mapre3b/tubgcp4/haus1/ska1/si:ch211-269e2.1,60
CC,GO:0000313,organellar ribosome,27/3396,62/19331,0.435483871,2.478898324,5.384288314,1.69E-06,5.78E-05,4.99E-05,mrpl43/nsun4/mrps7/dap3/mrpl27/mrpl10/mrps17/mrps16/mrps11/mrpl44/mrpl20/mrps35/mrpl22/mrpl40/mrps14/mrps30/mrps31/mrps24/mrps6/mrps22/mrpl53/mrpl51/mrps9/mrpl52/mrpl58/mrps15/mrpl34,27
CC,GO:0005761,mitochondrial ribosome,27/3396,62/19331,0.435483871,2.478898324,5.384288314,1.69E-06,5.78E-05,4.99E-05,mrpl43/nsun4/mrps7/dap3/mrpl27/mrpl10/mrps17/mrps16/mrps11/mrpl44/mrpl20/mrps35/mrpl22/mrpl40/mrps14/mrps30/mrps31/mrps24/mrps6/mrps22/mrpl53/mrpl51/mrps9/mrpl52/mrpl58/mrps15/mrpl34,27
BP,GO:0009063,amino acid catabolic process,36/3314,94/18773,0.382978723,2.169480861,5.262850834,1.70E-06,0.000310513,0.000272291,zgc:92040/glud1b/kmo/qdpra/tha1/gcat/aldh6a1/hpda/fah/asrgl1/prodha/tdo2a/ftcd/si:ch211-217a12.1/ido1/kynu/aldh4a1/enosf1/kyat3.2/gls2a/hgd/agxt2/sardh/pah/thnsl2/pipox/bckdha/nos1/tat/slc25a44a/gcshb/zgc:162816/bckdhb/slc25a44b/amt/got2a,36
BP,GO:0072329,monocarboxylic acid catabolic process,29/3314,69/18773,0.420289855,2.380839303,5.320363,1.90E-06,0.000327365,0.00028707,acadl/abhd3/faah/cpt1ab/acad11/fah/pck1/abhd2a/cpt2/hadhab/hacl1/acox3/hoga1/acaa2/crot/phyh/decr2/cpt1b/agxt2/eci1/acaa1/zgc:85777/acot7/echdc2/lpin2/abcd1/gcdha/acat1/tysnd1,29
CC,GO:0000793,condensed chromosome,37/3396,99/19331,0.373737374,2.127419662,5.191761225,2.17E-06,6.96E-05,6.01E-05,rad50/zw10/plk3/ndel1b/smc2/incenp/plk1/spout1/ncapd2/mad2l1/ncapd3/spc25/firrm/aurka/kif2c/aurkb/ercc6l/ttk/ppp1cc/ncapg/cfdp1/cenph/bub3/smc5/spc24/ckap5/ndc80/clasp1a/nsmce4a/nuf2/zwilch/plk2a/cenpt/cenpi/si:dkey-225f5.4/ska1/rad9a,37
BP,GO:0055086,nucleobase-containing small molecule metabolic process,112/3314,423/18773,0.264775414,1.499888003,4.814660731,3.14E-06,0.000504554,0.000442448,ampd2b/enpp1/kmo/urahb/pde4ca/prkag2b/adka/aprt/pde4bb/gpd1b/fitm2/aclya/gucy1a2/pank1b/gart/pdk2a/macrod1/papss2b/hk1/aldh6a1/rrm1/entpd1/prps1b/atp5mea/elovl6/kars1/g6pd/nnt/nadk2/pnp5a/slc38a9/atp6v1ba/tdo2a/tyms/nudt2/acot22/prpsap2/aspdh/ugp2b/atpsckmt/gfpt1/atp6v1ab/zgc:103586/oard1/pkma/umps/ido1/exosc2/impdh1b/nadkb/nt5c2b/nudt5/atp5pf/dlat/rfk/kynu/eno1a/adcy6a/pdk4/gfpt2/ak2/hkdc1/hk2/dpys/nudt15/allc/nudt3b/adcy5/uap1/paics/zgc:103559/npr1a/uck1/mlycd/gpia/rrm2/gnpnat1/mdh1aa/ugdh/npr1b/acot7/cdab/gfus.1/pipox/acot20/dctd/pfkpa/pmm2/pdk1/dhodh/atp5pd/h6pd/acss2/entpd6/pgk1/acacb/hprt1/si:dkey-219c10.4/pgm2/aldoaa/hmgcra/ctps1a/dhtkd1/gcdha/impdh1a/rpia/sucla2/nudt4a/itpa/ampd3a/gpd1c/acsl3b,112
BP,GO:0042274,ribosomal small subunit biogenesis,28/3314,67/18773,0.417910448,2.367360542,5.191236394,3.26E-06,0.000504554,0.000442448,tsr1/rps27.1/rrp36/utp3/wdr3/rrp7a/tsr2/utp6/mrps7/wdr46/dcaf13/zgc:86811/rps19/nol10/utp25/utp4/riok2/tbl3/utp15/wdr75/pwp2h/wdr43/nat10/pno1/rrs1/dhx37/npm1a/tsr3,28
MF,GO:0140098,"catalytic activity, acting on RNA",90/3228,326/18430,0.27607362,1.576219582,4.837008231,3.41E-06,0.003073592,0.002708089,ddx17/rnasel2/wars2/emg1/polr1h/n4bp1/mettl5/supv3l1/ftsj3/kars1/dimt1l/dhx35/nsun4/thumpd3/endog/gng2/ddx24/tfb1m/dus1l/polr1d/nars2/bud23/ddx27/ddx54/rnaset2l/ddx19b/ddx10/ddx49/aarsd1/zc3h12ab/polr2d/thg1l/eif4a1a/mrm1/ddx28/mrpl44/isg20l2/eri1/dhx30/trpt1/dis3/trmt1l/zc3h12b/toe1/polr2a/yars2/polr1a/rtca/drosha/mov10a/ddx39ab/helz2a/rpusd4/dbr1/nsun2/nocta/noctb/ddx61/nop2/rnasekb/pop5/rcl1/alkbh1/qtrt2/pars2/ddx59/cpsf3/fbl/ddx18/rpp38/mars2/rpp14/trnt1/qrsl1/ddx47/tarbp1/dhx29/trmt10c/polr3d/tars1/elac2/bcdin3d/dhx37/mrpl58/mettl14/gatb/ddx3xb/tsr3/mepcea/polr3k,90
CC,GO:0098798,mitochondrial protein-containing complex,40/3396,113/19331,0.353982301,2.014968156,4.995296577,4.18E-06,0.000125751,0.000108584,mrpl43/supv3l1/tomm40/nsun4/hadhab/mrps7/dap3/mrpl27/mrpl10/mrps17/mrps16/mrps11/smdt1b/mrpl44/mrps35/mrpl22/mrpl40/timm50/mtx3/tomm6/chchd3a/mrps14/mrps30/mrps31/spg7/grpel1/afg3l1/mrps24/mrps6/mrps22/micu1/mrpl53/mrpl51/mrps9/mrpl52/mrpl58/mrps15/mrpl34/timm10b/tomm20b,40
